"","gvkey","conm","tic","cusip","cik","sic","naics","gsubind","gind","year1","year2"
"8242","034823","BMO BALANCED ETF","ZBAL.","05591E103",NA,"6722","525910",NA,NA,2019,2021
"8243","034825","TUSCAN HOLDINGS CORP","THCB","90069K104",NA,"9995","999990",NA,NA,2018,2020
"8244","034826","BMO EQL WHT US HTH CR IX ETF","ZHU.","05586K106",NA,"6722","525910",NA,NA,2019,2021
"8245","034827","BMO COVERD CALL US BANKS ETF","ZWK.","05586H103",NA,"6722","525910",NA,NA,2019,2021
"8246","034828","BMO NASDAQ 100 EQTY INDX ETF","ZNQ.","05586P105",NA,"6722","525910",NA,NA,2019,2021
"8247","034829","BMO CONSERVATIVE ETF","ZCON.","05587M101",NA,"6722","525910",NA,NA,2019,2021
"8248","034830","BMO GROWTH ETF","ZGRO.","05587J108",NA,"6722","525910",NA,NA,2019,2021
"8249","034834","SOLITON INC","SOLY","834251100","0001548187","3845","334510","35101010","351010",2016,2020
"8250","034835","FIRE & FLOWERS HOLDINGS CORP","FFLWF","318108305","0001811942","5122","424210","25504040","255040",2017,2021
"8251","034838","FRANKNL FTSE CAD A CP IDX ET","FLCD.","35351E100",NA,"6722","525910",NA,NA,2019,2020
"8252","034839","FRNKL FTSE EUR EX UK IND ETF","FLUR.","35351C104",NA,"6722","525910",NA,NA,2019,2020
"8253","034840","FRANKLIN FTSE JAPAN INDX ETF","FLJA.","35351A108",NA,"6722","525910",NA,NA,2019,2020
"8254","034841","FRANKLIN FTSE US INDEX ETF","FLAM.","353510100",NA,"6722","525910",NA,NA,2019,2020
"8255","034854","SHOCKWAVE MEDICAL INC","SWAV","82489T104","0001642545","3845","334510","35101010","351010",2017,2021
"8256","034860","HORIZNS LAD CAD PFD S IN ETF","HLPR.","44055R102",NA,"6722","525910",NA,NA,2019,2021
"8257","034862","JOHN HANCK MF MEDIA COMM ETF","JHCS","47804J826",NA,"6722","525910",NA,NA,2019,2021
"8258","034863","UP FINTECH HOLDIN -ADR","TIGR","91531W106","0001756699","6211","523120","40203020","402030",2016,2021
"8259","034864","TRINE ACQUISITION CORP","TRNE","89628U108",NA,"9995","999990",NA,NA,2018,2019
"8260","034865","FIDELITY SMALL-MID MULTI ETF","FSMD","316092527",NA,"6722","525910",NA,NA,2019,2021
"8261","034866","FIDELITY INTRNATNL MULTF ETF","FDEV","316092535",NA,"6722","525910",NA,NA,2019,2021
"8262","034867","FIDELITY EMRGNG MKTS MUFCTR","FDEM","316092543",NA,"6722","525910",NA,NA,2019,2021
"8263","034873","LYFT INC","LYFT","55087P104","0001759509","4100","485310","20304020","203040",2016,2021
"8264","034882","SILK ROAD MEDICAL INC","SILK","82710M100","0001397702","3845","334510","35101020","351010",2017,2021
"8265","034883","PRECISION BIOSCIENCES","DTIL","74019P108","0001357874","2836","325414","35201010","352010",2017,2021
"8266","034884","DEFIANCE NEXT GN CONVITY ETF","FIVG","26922A289",NA,"6722","525910",NA,NA,2019,2021
"8267","034894","GOLDMN SS MOF DT DRN WLD ETF","GDAT","381430347",NA,"6722","525910",NA,NA,2019,2019
