"NAME","NAMEHCR","STALP","STNAME","BKCLASS","ASSET","CERT","FED_RSSD","org_name","commented","Commented","mean_ASSET","median_ASSET","mean_ASSET_type","median_ASSET_type"
"Vision Bank, FSB",NA,"FL","Florida","SA",71353000,57434,3154342,"vision bank, fsb",FALSE,"Did not comment",915546343.628809,95742500,849658148.500577,128373500
"Community Bank of West Georgia",NA,"GA","Georgia","SM",201222000,57436,3119163,"community bank of west georgia",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Legacy Bank, N.A.",NA,"CA","California","N",41205000,57437,3155134,"legacy bank, n.a.",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Oglethorpe Bank",NA,"GA","Georgia","NM",211149000,57440,3208441,"oglethorpe bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Ventura County  Business Bank",NA,"CA","California","NM",77949000,57441,3182082,"ventura county  business bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Summit Bank",NA,"AZ","Arizona","NM",73066000,57442,3134885,"summit bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"West, National Association",NA,"CA","California","N",190953448000,57443,3119145,"west, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"American Continental Bank","American Continental Bancorp","CA","California","NM",209963000,57444,3216316,"american continental bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Community National Bank of the Lakeway Area",NA,"TN","Tennessee","N",116548000,57445,3183584,"community national bank of the lakeway area",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"United American Bank","Atbancorp","CA","California","NM",308712000,57447,3161144,"united american bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"First Commerce Community Bank",NA,"GA","Georgia","NM",248151000,57448,3153626,"first commerce community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Medallion Bank",NA,"UT","Utah","NM",1083931000,57449,3228908,"medallion bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Charles Schwab Bank",NA,"NV","Nevada","SA",1.80506e+11,57450,3150447,"charles schwab bank",TRUE,"Commented",2565978874.81297,145717500,1820608982.63889,218372500
"Sound Community Bank","Sound Financial Bancorp, Inc.","WA","Washington","NM",574740000,57451,429487,"sound community bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Prairie Mountain Bank",NA,"MT","Montana","NM",93989000,57453,3097243,"prairie mountain bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
